Date,Official DJIA
2024-01-02,100.0
2024-01-03,99.24473721006106
2024-01-04,99.27164540836142
2024-01-05,99.33997234607796
2024-01-08,99.91508070905898
2024-01-09,99.4965432597449
2024-01-10,99.94880399376493
2024-01-11,99.9893423648764
2024-01-12,99.67636625392929
2024-01-16,99.06159988814144
2024-01-17,98.81117135592255
2024-01-18,99.34660100154841
2024-01-19,100.39443607231449
2024-01-22,100.76035856883186
2024-01-23,100.50486532954257
2024-01-24,100.24221521380004
2024-01-25,100.88582658815852
2024-01-26,101.0457118295607
2024-01-29,101.63969114608417
2024-01-30,101.99461421743025
2024-01-31,101.15407998922844
2024-02-01,102.13389884050315
2024-02-02,102.49073800757117
2024-02-05,101.76343985789819
2024-02-06,102.13792782015629
2024-02-07,102.55155592151257
2024-02-08,102.68139471054008
2024-02-09,102.53652751668815
2024-02-12,102.8697831704652
2024-02-13,101.47874946271641
2024-02-14,101.88049777059673
2024-02-15,102.80546449785345
2024-02-16,102.42065033324529
2024-02-20,102.25045960404141
2024-02-21,102.37888980378145
2024-02-22,103.5902662337326
2024-02-23,103.75577547501048
2024-02-26,103.59058730923195
2024-02-27,103.33387191159031
2024-02-28,103.27185255384488
2024-02-29,103.3974552177358
2024-03-01,103.63870720503778
