Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2024-01-02,185.63999938964844,297.3900146484375,149.92999267578125,188.30999755859375,251.75999450683594,292.7099914550781,256.1300048828125,50.5099983215332,149.47999572753906,90.70999908447266,388.29998779296875,345.0799865722656,196.98397827148438,161.5,159.97000122070312,172.0800018310547,59.81999969482422,297.0400085449219,91.9732437133789,113.23999786376953,370.8699951171875,106.55000305175781,48.167999267578125,148.74000549316406,304.9100036621094,191.4199981689453,539.3400268554688,258.8699951171875,38.880001068115234,53.0966682434082
2024-01-03,184.25,300.69000244140625,148.47000122070312,186.32000732421875,243.91000366210938,284.29998779296875,251.83999633789062,50.5099983215332,152.3300018310547,91.6500015258789,381.7900085449219,338.260009765625,192.77096557617188,160.10000610351562,160.97000122070312,171.3300018310547,59.959999084472656,294.3900146484375,90.12541961669922,114.7699966430664,370.6000061035156,104.04000091552734,47.569000244140625,147.83999633789062,296.7699890136719,191.3000030517578,542.030029296875,257.9800109863281,39.15999984741211,53.099998474121094
2024-01-04,181.91000366210938,303.1700134277344,144.57000732421875,187.13999938964844,244.94000244140625,286.1000061035156,251.24000549316406,50.08000183105469,150.66000366210938,90.55999755859375,382.95001220703125,338.5899963378906,193.1197052001953,160.86000061035156,160.6300048828125,171.41000366210938,59.7599983215332,291.739990234375,90.44314575195312,117.01000213623047,367.94000244140625,102.30000305175781,47.99800109863281,148.64999389648438,295.7699890136719,192.5399932861328,545.4199829101562,259.6099853515625,39.369998931884766,52.586666107177734
2024-01-05,181.17999267578125,303.0,145.24000549316406,189.05999755859375,249.0,288.92999267578125,251.1199951171875,50.09000015258789,150.39999389648438,90.9000015258789,386.44000244140625,342.94000244140625,191.82846069335938,159.16000366210938,161.1300048828125,172.27000427246094,59.66999816894531,288.989990234375,90.7943115234375,117.22000122070312,367.75,102.08000183105469,49.09700012207031,147.4199981689453,296.67999267578125,193.07000732421875,537.3800048828125,259.69000244140625,40.20000076293945,52.23666763305664
2024-01-08,185.55999755859375,310.8800048828125,149.10000610351562,189.2100067138672,229.0,292.25,260.8699951171875,50.459999084472656,149.5,91.55000305175781,388.8599853515625,347.92999267578125,191.00848388671875,161.13999938964844,161.52999877929688,172.02000427246094,60.11000061035156,291.8999938964844,91.02006530761719,117.37999725341797,374.69000244140625,103.62000274658203,52.25299835205078,148.69000244140625,299.4700012207031,192.30999755859375,536.52001953125,262.5400085449219,40.099998474121094,52.75
2024-01-09,185.13999938964844,307.260009765625,151.3699951171875,186.77000427246094,225.75999450683594,292.2900085449219,261.3399963378906,49.90999984741211,145.6999969482422,89.66999816894531,383.739990234375,346.19000244140625,190.03770446777344,160.0800018310547,161.6300048828125,170.66000366210938,60.0,290.8699951171875,91.22073364257812,118.43000030517578,375.7900085449219,102.73999786376953,53.13999938964844,149.3000030517578,297.510009765625,192.1999969482422,538.3699951171875,263.3299865722656,39.040000915527344,53.10333251953125
2024-01-10,186.19000244140625,304.57000732421875,153.72999572753906,184.97000122070312,227.83999633789062,293.3500061035156,264.1300048828125,50.2400016784668,144.5,89.29000091552734,381.9599914550781,356.79998779296875,190.763427734375,161.22999572753906,161.8699951171875,171.02000427246094,60.20000076293945,294.0899963378906,90.55184173583984,118.86000061035156,382.7699890136719,103.7699966430664,54.349998474121094,149.94000244140625,298.3999938964844,193.08999633789062,537.6400146484375,264.55999755859375,39.08000183105469,53.76333236694336
2024-01-11,185.58999633789062,303.1000061035156,155.17999267578125,185.02999877929688,222.66000366210938,292.05999755859375,271.3800048828125,50.439998626708984,145.27999877929688,89.44999694824219,379.75,356.5299987792969,190.0753936767578,162.16000366210938,161.14999389648438,170.3000030517578,59.810001373291016,294.1499938964844,91.07023620605469,118.43000030517578,384.6300048828125,105.9000015258789,54.821998596191406,150.50999450683594,297.4200134277344,194.8699951171875,539.6799926757812,264.0299987792969,37.900001525878906,53.70333480834961
2024-01-12,185.9199981689453,306.510009765625,154.6199951171875,182.0399932861328,217.6999969482422,290.4100036621094,271.92999267578125,50.34000015258789,147.27000427246094,90.3499984741211,377.75,355.7099914550781,189.53817749023438,165.8000030517578,162.38999938964844,169.0500030517578,60.38999938964844,293.4700012207031,90.40133666992188,118.62999725341797,388.4700012207031,105.05999755859375,54.709999084472656,150.60000610351562,302.510009765625,195.55999755859375,521.510009765625,264.1700134277344,38.560001373291016,53.77333450317383
2024-01-16,183.6300048828125,303.4800109863281,153.16000366210938,180.97000122070312,200.52000427246094,287.2300109863281,269.19000244140625,50.59000015258789,143.69000244140625,93.05000305175781,380.45001220703125,358.42999267578125,186.39962768554688,166.9600067138672,160.52000427246094,167.99000549316406,59.9900016784668,291.0899963378906,90.0,118.48999786376953,390.2699890136719,101.72000122070312,56.38199996948242,149.7899932861328,300.0799865722656,196.7100067138672,519.1500244140625,265.239990234375,39.290000915527344,53.94333267211914
2024-01-17,182.67999267578125,304.0799865722656,151.7100067138672,181.0,203.05999755859375,278.6300048828125,271.44000244140625,50.29999923706055,143.1199951171875,90.33999633789062,377.17999267578125,355.70001220703125,186.56927490234375,166.0800018310547,160.42999267578125,167.08999633789062,59.9900016784668,291.1600036621094,88.69564819335938,118.12999725341797,389.4700012207031,100.81999969482422,56.053001403808594,149.94000244140625,300.8800048828125,197.5,524.9400024414062,266.6300048828125,38.869998931884766,53.689998626708984
2024-01-18,188.6300048828125,304.489990234375,153.5,179.7899932861328,211.61000061035156,281.8999938964844,274.4599914550781,50.75,141.82000732421875,92.20999908447266,376.9100036621094,357.8999938964844,188.6239471435547,166.83999633789062,161.2100067138672,167.4199981689453,60.15999984741211,294.3599853515625,88.99665832519531,118.54000091552734,393.8699951171875,100.94000244140625,57.106998443603516,148.13999938964844,306.3699951171875,198.35000610351562,516.3400268554688,268.1400146484375,38.939998626708984,54.413333892822266
2024-01-19,191.55999755859375,307.80999755859375,155.33999633789062,183.1699981689453,215.02000427246094,285.2799987792969,280.8800048828125,51.27000045776367,142.24000549316406,93.05999755859375,382.20001220703125,362.4100036621094,189.236572265625,171.47999572753906,161.67999267578125,170.30999755859375,59.83000183105469,300.5299987792969,90.10033416748047,118.88999938964844,398.6700134277344,101.77999877929688,59.49100112915039,147.57000732421875,304.0199890136719,211.6699981689453,503.55999755859375,270.8999938964844,39.33000183105469,54.12666702270508
2024-01-22,193.88999938964844,310.1600036621094,154.77999877929688,185.00999450683594,214.92999267578125,288.6700134277344,280.29998779296875,51.56999969482422,142.49000549316406,95.08000183105469,385.9599914550781,356.69000244140625,189.48162841796875,172.8300018310547,162.47000122070312,170.11000061035156,59.56999969482422,298.4100036621094,90.3177261352539,119.43000030517578,396.510009765625,100.55999755859375,59.65399932861328,147.86000061035156,307.4800109863281,213.86000061035156,512.989990234375,271.20001220703125,39.58000183105469,54.130001068115234
2024-01-23,195.17999267578125,309.9100036621094,156.02000427246094,185.47000122070312,211.5,288.8299865722656,276.7699890136719,51.7599983215332,142.08999633789062,93.7699966430664,380.7699890136719,350.7799987792969,191.2723846435547,173.94000244140625,159.80999755859375,168.99000549316406,59.849998474121094,300.04998779296875,80.3511734008789,119.83999633789062,398.8999938964844,101.9000015258789,59.87300109863281,153.97999572753906,305.4599914550781,210.97999572753906,515.52001953125,271.260009765625,42.22999954223633,54.266666412353516
2024-01-24,194.5,305.5,156.8699951171875,185.82000732421875,214.1300048828125,290.67999267578125,276.8800048828125,51.310001373291016,144.9199981689453,93.5,379.3999938964844,347.2699890136719,188.37889099121094,173.92999267578125,158.9600067138672,170.5,58.90999984741211,300.44000244140625,77.95986938476562,118.87999725341797,402.55999755859375,100.76000213623047,61.36199951171875,152.1199951171875,301.05999755859375,210.97999572753906,513.22998046875,271.6499938964844,41.279998779296875,53.5
2024-01-25,194.1699981689453,310.260009765625,157.75,188.07000732421875,201.8800048828125,300.7699890136719,279.0299987792969,52.33000183105469,148.57000732421875,94.86000061035156,382.70001220703125,350.9700012207031,190.9142303466797,190.42999267578125,159.55999755859375,172.94000244140625,59.15999984741211,297.2099914550781,80.25083923339844,120.12999725341797,404.8699951171875,100.7699966430664,61.617000579833984,155.6199951171875,303.9100036621094,211.52000427246094,493.3999938964844,272.6099853515625,42.290000915527344,54.279998779296875
2024-01-26,192.4199981689453,311.7699890136719,159.1199951171875,201.42999267578125,205.47000122070312,299.42999267578125,279.94000244140625,52.13999938964844,149.13999938964844,95.36000061035156,377.7900085449219,355.29998779296875,190.1979217529297,187.4199981689453,159.5,172.27999877929688,59.369998931884766,292.260009765625,80.25919342041016,120.81999969482422,403.92999267578125,102.75,61.03099822998047,156.13999938964844,301.8500061035156,211.42999267578125,503.20001220703125,267.94000244140625,42.400001525878906,54.75666809082031
2024-01-29,191.72999572753906,313.45001220703125,161.25999450683594,200.86000061035156,205.19000244140625,303.25,287.8599853515625,52.290000915527344,149.0800018310547,97.48999786376953,380.55999755859375,355.70001220703125,191.3760528564453,187.13999938964844,159.36000061035156,172.72999572753906,59.72999954223633,292.30999755859375,80.58528137207031,121.27999877929688,409.7200012207031,103.87999725341797,62.46500015258789,156.16000366210938,308.0899963378906,211.1199951171875,504.5400085449219,273.6600036621094,42.04999923706055,55.01333236694336
2024-01-30,188.0399932861328,314.6199951171875,159.0,204.14999389648438,200.44000244140625,304.760009765625,287.7300109863281,52.2400016784668,150.1199951171875,96.94000244140625,386.8699951171875,357.1000061035156,194.0622100830078,187.8699951171875,158.77000427246094,176.27000427246094,59.900001525878906,294.6499938964844,80.05852508544922,121.66000366210938,408.5899963378906,104.18000030517578,62.77399826049805,157.49000549316406,307.6300048828125,213.5399932861328,503.6099853515625,277.1499938964844,42.470001220703125,55.1966667175293
2024-01-31,184.39999389648438,314.260009765625,155.1999969482422,200.74000549316406,211.0399932861328,300.30999755859375,281.0899963378906,50.18000030517578,147.42999267578125,96.05000305175781,384.010009765625,352.9599914550781,190.63148498535156,183.66000366210938,158.89999389648438,174.36000061035156,59.4900016784668,292.7200012207031,78.8879623413086,120.77999877929688,397.5799865722656,101.52999877929688,61.527000427246094,157.13999938964844,304.3800048828125,211.36000061035156,511.739990234375,273.260009765625,42.349998474121094,55.08333206176758
2024-02-01,186.86000061035156,324.55999755859375,159.27999877929688,203.22000122070312,209.80999755859375,307.69000244140625,283.79998779296875,50.18000030517578,147.88999938964844,97.05999755859375,383.8500061035156,360.07000732421875,185.966064453125,186.89999389648438,158.36000061035156,173.72999572753906,60.97999954223633,298.0799865722656,80.19230651855469,126.37999725341797,403.7799987792969,101.76000213623047,63.027000427246094,159.17999267578125,309.0799865722656,212.02000427246094,507.1400146484375,277.04998779296875,42.4900016784668,56.10333251953125
2024-02-02,185.85000610351562,323.19000244140625,171.80999755859375,206.41000366210938,209.3800048828125,315.0899963378906,285.6600036621094,50.18000030517578,152.24000549316406,97.12999725341797,387.8599853515625,357.2300109863281,184.83506774902344,185.7899932861328,156.61000061035156,174.72999572753906,60.540000915527344,297.04998779296875,79.32273864746094,126.41000366210938,411.2200012207031,100.70999908447266,66.16000366210938,158.08999633789062,309.989990234375,214.82000732421875,510.2300109863281,277.17999267578125,42.130001068115234,56.52333450317383
2024-02-05,187.67999267578125,321.9700012207031,170.30999755859375,205.94000244140625,206.6300048828125,321.3999938964844,288.1099853515625,49.5099983215332,152.3300018310547,96.6500015258789,383.0199890136719,355.1400146484375,181.9132843017578,183.4199981689453,155.8000030517578,174.5,60.040000915527344,285.9700012207031,77.533447265625,126.18000030517578,405.6499938964844,99.68000030517578,69.33200073242188,158.2100067138672,304.489990234375,213.0800018310547,502.9599914550781,275.5799865722656,41.380001068115234,56.220001220703125
2024-02-06,189.3000030517578,316.07000732421875,169.14999389648438,205.64999389648438,208.5800018310547,322.7200012207031,285.8299865722656,49.97999954223633,152.35000610351562,99.29000091552734,384.989990234375,356.25,182.50706481933594,183.41000366210938,158.05999755859375,175.10000610351562,59.939998626708984,284.6499938964844,78.39464569091797,126.87999725341797,405.489990234375,102.61000061035156,68.2229995727539,158.9600067138672,307.8800048828125,213.00999450683594,510.6700134277344,276.760009765625,41.099998474121094,56.60333251953125
