Date,Official S&P 500
2024-01-02,100.0
2024-01-03,99.19836850772691
2024-01-04,98.8582786764067
2024-01-05,99.03876286944644
2024-01-08,100.43665829465448
2024-01-09,100.2882228890731
2024-01-10,100.85645314123416
2024-01-11,100.78877285573742
2024-01-12,100.86446276431242
2024-01-16,100.48810313594245
2024-01-17,99.92367179241363
2024-01-18,100.80352579901653
2024-01-19,102.04477029265804
2024-01-22,102.2686897039075
2024-01-23,102.56745482181368
2024-01-24,102.6507322525078
2024-01-25,103.1907126258427
2024-01-26,103.12345444130511
2024-01-29,103.90273517303463
2024-01-30,103.84032600195442
2024-01-31,102.16790023098189
2024-02-01,103.44435412170262
2024-02-02,104.54959974533928
2024-02-05,104.21646943227215
2024-02-06,104.4572522915964
2024-02-07,105.31813234532882
2024-02-08,105.37822510870645
2024-02-09,105.98334286663793
2024-02-12,105.88276959176454
2024-02-13,104.43490153105283
2024-02-14,105.43536316537009
2024-02-15,106.04912884539121
2024-02-16,105.53972505373036
2024-02-20,104.90592502086825
2024-02-21,105.03854708320002
2024-02-22,107.25726415160383
2024-02-23,107.29458405347874
2024-02-26,106.8882861424461
2024-02-27,107.07067493737463
2024-02-28,106.89313515590351
2024-02-29,107.45208948210889
2024-03-01,108.31254743488218
