Date,Official DJIA
2019-01-02,100.0
2019-01-03,97.17290867983878
2019-01-04,100.37230800763807
2019-01-07,100.79288730494362
2019-01-08,101.88985027116
2019-01-09,102.28250416726797
2019-01-10,102.80850227238979
2019-01-11,102.78292769136492
2019-01-14,102.41409153558334
2019-01-15,103.08122251014889
2019-01-16,103.68761699199592
2019-01-17,104.38554287423321
2019-01-18,105.82581761065482
2019-01-22,104.53280795430541
2019-01-23,105.26585391869592
2019-01-24,105.16999734382418
2019-01-25,105.957957128904
2019-01-28,105.06283006121754
2019-01-29,105.28445133237544
2019-01-30,107.14727135450326
2019-01-31,107.08220968730328
2019-02-01,107.35728911114317
2019-02-04,108.10892412330512
2019-02-05,108.8463036280852
2019-02-06,108.7554164026177
2019-02-07,107.80977598189618
2019-02-08,107.53907192798626
2019-02-11,107.3111092984977
2019-02-12,108.90729946395444
2019-02-13,109.410634324066
2019-02-14,108.96568513650024
2019-02-15,110.8668879449356
2019-02-19,110.901455877155
2019-02-20,111.17181692883331
2019-02-21,110.72716891395872
2019-02-22,111.50322401182939
2019-02-25,111.7608186877655
2019-02-26,111.61531881429984
2019-02-27,111.30340429714869
2019-02-28,111.00716749175436
2019-03-01,111.47970744419416
2019-03-04,110.59446887986765
2019-03-05,110.53870173655338
2019-03-06,109.96828902539262
2019-03-07,109.11063286003208
2019-03-08,109.01215775592881
2019-03-11,109.87157076198783
2019-03-12,109.45942430003493
2019-03-13,110.09434652846187
2019-03-14,110.12453909075128
2019-03-15,110.7196228648634
2019-03-18,110.99902746318477
2019-03-19,110.88458184054161
2019-03-20,110.27758501331225
2019-03-21,111.20638486105273
2019-03-22,109.23523469509402
2019-03-25,109.29738502627941
2019-03-26,109.90091000165226
2019-03-27,109.76324061815694
2019-03-28,110.15675620279798
2019-03-29,111.06147896706133
2019-04-01,112.47387013182579
2019-04-02,112.13424772708734
2019-04-03,112.30129817978755
2019-04-04,113.01447511246917
2019-04-05,113.18734823719859
2019-04-08,112.82767275077332
2019-04-09,112.01195488265768
2019-04-10,112.04013962700598
2019-04-11,111.97970430697863
2019-04-12,113.13299493235118
2019-04-15,113.01506909194342
2019-04-16,113.30586805708059
2019-04-17,113.29249933595605
2019-04-18,113.76366727946943
2019-04-22,113.55597524527796
2019-04-23,114.17851592973474
2019-04-24,113.92434291020662
2019-04-25,113.34621683178878
2019-04-26,113.69423860824753
2019-04-29,113.7416147457496
2019-04-30,113.90660718506017
2019-05-01,113.20940913682652
2019-05-02,112.68533519056493
2019-05-03,113.52984014841121
2019-05-06,113.24513156436207
2019-05-07,111.2174362256369
2019-05-08,111.22703192221378
2019-05-09,110.63177246403183
2019-05-10,111.12011561684977
2019-05-13,108.4756688020647
2019-05-14,109.36258054800881
2019-05-15,109.85931470663897
2019-05-16,110.7787782009533
2019-05-17,110.35609906071767
2019-05-20,109.9958714243586
2019-05-21,110.84153087752101
2019-05-22,110.41010936333348
2019-05-23,109.18447873072442
2019-05-24,109.5923334818282
2019-05-28,108.57324038809448
2019-05-29,107.62508182903848
2019-05-30,107.811281845352
2019-05-31,106.2913720298412
2019-06-03,106.31167608877065
2019-06-04,108.50646370973645
2019-06-05,109.39478929414742
2019-06-06,110.17045956024604
2019-06-07,111.29817560459372
2019-06-10,111.63544718915945
2019-06-11,111.57475252598137
2019-06-12,111.38765735750245
2019-06-13,111.82429919833686
2019-06-14,111.75079632987612
2019-06-17,111.84897026128823
2019-06-18,113.36103285501254
2019-06-19,113.52577431708046
2019-06-20,114.59305504140079
2019-06-21,114.44725399524398
2019-06-24,114.48326922956261
2019-06-25,113.71518684209975
2019-06-26,113.66635503659039
2019-06-27,113.62249258048526
2019-06-28,113.93680811325767
2019-07-01,114.43996728929937
2019-07-02,114.73658892646576
2019-07-03,115.5046796798367
2019-07-05,115.3167228228247
2019-07-08,114.8199468346541
2019-07-09,114.72292739855814
2019-07-10,115.0514984387124
2019-07-11,116.02759076487406
2019-07-12,117.07250941687529
2019-07-15,117.18872024612502
2019-07-16,117.08793615138947
2019-07-17,116.59200511993575
2019-07-18,116.6053738410603
2019-07-19,116.31080185137546
2019-07-22,116.38662207637655
2019-07-23,117.14601228533603
2019-07-24,116.80669105328874
2019-07-25,116.25418138543621
2019-07-26,116.47463979536988
2019-07-29,116.5984301373473
2019-07-30,116.49849936523673
2019-07-31,115.0689329911677
2019-08-01,113.86595723766081
2019-08-02,113.44443259274132
2019-08-05,110.15795252765456
2019-08-06,111.49341080164223
2019-08-07,111.39725305407931
2019-08-08,112.98688434759511
2019-08-09,112.59817079419658
2019-08-12,110.92338292225352
2019-08-13,112.56592021851752
2019-08-14,109.1371444227628
