Date,Implied divisor
2019-01-02,34.9455783033371
2019-01-03,34.9455783033371
2019-01-04,34.9455783033371
2019-01-07,34.9455783033371
2019-01-08,34.9455783033371
2019-01-09,34.9455783033371
2019-01-10,34.9455783033371
2019-01-11,34.9455783033371
2019-01-14,34.9455783033371
2019-01-15,34.9455783033371
2019-01-16,34.9455783033371
2019-01-17,34.9455783033371
2019-01-18,34.9455783033371
2019-01-22,34.9455783033371
2019-01-23,34.9455783033371
2019-01-24,34.9455783033371
2019-01-25,34.9455783033371
2019-01-28,34.9455783033371
2019-01-29,34.9455783033371
2019-01-30,34.9455783033371
2019-01-31,34.9455783033371
2019-02-01,34.9455783033371
2019-02-04,34.9455783033371
2019-02-05,34.9455783033371
2019-02-06,34.9455783033371
2019-02-07,34.9455783033371
2019-02-08,34.9455783033371
2019-02-11,34.9455783033371
2019-02-12,34.9455783033371
2019-02-13,34.9455783033371
2019-02-14,34.9455783033371
2019-02-15,34.9455783033371
2019-02-19,34.9455783033371
2019-02-20,34.9455783033371
2019-02-21,34.9455783033371
2019-02-22,34.9455783033371
2019-02-25,34.9455783033371
2019-02-26,34.9455783033371
2019-02-27,34.9455783033371
2019-02-28,34.9455783033371
2019-03-01,34.9455783033371
2019-03-04,34.9455783033371
2019-03-05,34.9455783033371
2019-03-06,34.9455783033371
2019-03-07,34.9455783033371
2019-03-08,34.9455783033371
2019-03-11,34.9455783033371
2019-03-12,34.9455783033371
2019-03-13,34.9455783033371
2019-03-14,34.9455783033371
2019-03-15,34.9455783033371
2019-03-18,34.9455783033371
2019-03-19,34.9455783033371
2019-03-20,34.9455783033371
2019-03-21,34.9455783033371
2019-03-22,34.9455783033371
2019-03-25,34.9455783033371
2019-03-26,34.9455783033371
2019-03-27,34.9455783033371
2019-03-28,34.9455783033371
2019-03-29,34.9455783033371
2019-04-01,34.9455783033371
2019-04-02,34.9455783033371
2019-04-03,34.9455783033371
2019-04-04,34.9455783033371
2019-04-05,34.9455783033371
2019-04-08,34.9455783033371
2019-04-09,34.9455783033371
2019-04-10,34.9455783033371
2019-04-11,34.9455783033371
2019-04-12,34.9455783033371
2019-04-15,34.9455783033371
2019-04-16,34.9455783033371
2019-04-17,34.9455783033371
2019-04-18,34.9455783033371
2019-04-22,34.9455783033371
2019-04-23,34.9455783033371
2019-04-24,34.9455783033371
2019-04-25,34.9455783033371
2019-04-26,34.9455783033371
2019-04-29,34.9455783033371
2019-04-30,34.9455783033371
2019-05-01,34.9455783033371
2019-05-02,34.9455783033371
2019-05-03,34.9455783033371
2019-05-06,34.9455783033371
2019-05-07,34.9455783033371
2019-05-08,34.9455783033371
2019-05-09,34.9455783033371
2019-05-10,34.9455783033371
2019-05-13,34.9455783033371
2019-05-14,34.9455783033371
2019-05-15,34.9455783033371
2019-05-16,34.9455783033371
2019-05-17,34.9455783033371
2019-05-20,34.9455783033371
2019-05-21,34.9455783033371
2019-05-22,34.9455783033371
2019-05-23,34.9455783033371
2019-05-24,34.9455783033371
2019-05-28,34.9455783033371
2019-05-29,34.9455783033371
2019-05-30,34.9455783033371
2019-05-31,34.9455783033371
2019-06-03,34.9455783033371
2019-06-04,34.9455783033371
2019-06-05,34.9455783033371
2019-06-06,34.9455783033371
2019-06-07,34.9455783033371
2019-06-10,34.9455783033371
2019-06-11,34.9455783033371
2019-06-12,34.9455783033371
2019-06-13,34.9455783033371
2019-06-14,34.9455783033371
2019-06-17,34.9455783033371
2019-06-18,34.9455783033371
2019-06-19,34.9455783033371
2019-06-20,34.9455783033371
2019-06-21,34.9455783033371
2019-06-24,34.9455783033371
2019-06-25,34.9455783033371
2019-06-26,34.9455783033371
2019-06-27,34.9455783033371
2019-06-28,34.9455783033371
2019-07-01,34.9455783033371
2019-07-02,34.9455783033371
2019-07-03,34.9455783033371
2019-07-05,34.9455783033371
2019-07-08,34.9455783033371
2019-07-09,34.9455783033371
2019-07-10,34.9455783033371
2019-07-11,34.9455783033371
2019-07-12,34.9455783033371
2019-07-15,34.9455783033371
2019-07-16,34.9455783033371
2019-07-17,34.9455783033371
2019-07-18,34.9455783033371
2019-07-19,34.9455783033371
2019-07-22,34.9455783033371
2019-07-23,34.9455783033371
2019-07-24,34.9455783033371
2019-07-25,34.9455783033371
2019-07-26,34.9455783033371
2019-07-29,34.9455783033371
2019-07-30,34.9455783033371
2019-07-31,34.9455783033371
2019-08-01,34.9455783033371
2019-08-02,34.9455783033371
2019-08-05,34.9455783033371
2019-08-06,34.9455783033371
2019-08-07,34.9455783033371
2019-08-08,34.9455783033371
2019-08-09,34.9455783033371
2019-08-12,34.9455783033371
2019-08-13,34.9455783033371
2019-08-14,34.9455783033371
2019-08-15,34.9455783033371
2019-08-16,34.9455783033371
2019-08-19,34.9455783033371
2019-08-20,34.9455783033371
2019-08-21,34.9455783033371
2019-08-22,34.9455783033371
2019-08-23,34.9455783033371
2019-08-26,34.9455783033371
2019-08-27,34.9455783033371
2019-08-28,34.9455783033371
2019-08-29,34.9455783033371
2019-08-30,34.9455783033371
2019-09-03,34.9455783033371
2019-09-04,34.9455783033371
2019-09-05,34.9455783033371
2019-09-06,34.9455783033371
2019-09-09,34.9455783033371
2019-09-10,34.9455783033371
2019-09-11,34.9455783033371
