Date,S&P 500-style reconstruction,Official S&P 500
2024-01-02,100.0,100.0
2024-01-03,99.98568609209232,99.19836850772691
2024-01-04,99.451468554661,98.8582786764067
2024-01-05,99.5273547052056,99.03876286944644
2024-01-08,100.83025385304182,100.43665829465448
2024-01-09,100.69584283807687,100.2882228890731
2024-01-10,101.23123063346571,100.85645314123416
2024-01-11,101.06513952271048,100.78877285573742
2024-01-12,101.1494044225049,100.86446276431242
2024-01-16,100.64428113579558,100.48810313594245
2024-01-17,100.06772803049738,99.92367179241363
2024-01-18,100.88062916001905,100.80352579901653
2024-01-19,102.0434551001666,102.04477029265804
2024-01-22,102.22194431617699,102.2686897039075
2024-01-23,102.54365835900956,102.56745482181368
2024-01-24,102.5405948240788,102.6507322525078
2024-01-25,103.14649197655707,103.1907126258427
2024-01-26,103.16949893239595,103.12345444130511
2024-01-29,103.90909002780786,103.90273517303463
2024-01-30,103.76426747730159,103.84032600195442
2024-01-31,101.80817804707087,102.16790023098189
2024-02-01,103.00817932988497,103.44435412170262
2024-02-02,104.02931899417136,104.54959974533928
2024-02-05,103.52820091982795,104.21646943227215
2024-02-06,103.91200005292718,104.4572522915964
2024-02-07,104.70489014226445,105.31813234532882
2024-02-08,104.81470392980043,105.37822510870645
2024-02-09,105.38439558611647,105.98334286663793
2024-02-12,105.26161189964513,105.88276959176454
2024-02-13,103.75626817352652,104.43490153105283
2024-02-14,104.6672326412521,105.43536316537009
2024-02-15,105.24410163836606,106.04912884539121
2024-02-16,104.69889583966423,105.53972505373036
2024-02-20,104.22381303960474,104.90592502086825
2024-02-21,104.53622229743085,105.03854708320002
2024-02-22,106.14640993378978,107.25726415160383
2024-02-23,106.17303915609114,107.29458405347874
2024-02-26,105.51668237215416,106.8882861424461
2024-02-27,105.7939779209273,107.07067493737463
2024-02-28,105.61091283067353,106.89313515590351
2024-02-29,106.15083910225658,107.45208948210889
2024-03-01,106.69550123506811,108.31254743488218
