Ticker,Company,Weight (%)
UNH,UnitedHealth Group,7.8222
MSFT,Microsoft,6.6392
GS,Goldman Sachs,6.2014
HD,Home Depot,6.1431
CAT,Caterpillar,5.3801
SHW,Sherwin-Williams,5.3566
CRM,Salesforce,5.0634
MCD,McDonald's,4.6455
V,Visa,4.5246
AMGN,Amgen,4.4794
