Date,S&P 500-style reconstruction
2024-01-02,100.0
2024-01-03,99.98568609209232
2024-01-04,99.451468554661
2024-01-05,99.5273547052056
2024-01-08,100.83025385304182
2024-01-09,100.69584283807687
2024-01-10,101.23123063346571
2024-01-11,101.06513952271048
2024-01-12,101.1494044225049
2024-01-16,100.64428113579558
2024-01-17,100.06772803049738
2024-01-18,100.88062916001905
2024-01-19,102.0434551001666
2024-01-22,102.22194431617699
2024-01-23,102.54365835900956
2024-01-24,102.5405948240788
2024-01-25,103.14649197655707
2024-01-26,103.16949893239595
2024-01-29,103.90909002780786
2024-01-30,103.76426747730159
2024-01-31,101.80817804707087
2024-02-01,103.00817932988497
2024-02-02,104.02931899417136
2024-02-05,103.52820091982795
2024-02-06,103.91200005292718
2024-02-07,104.70489014226445
2024-02-08,104.81470392980043
2024-02-09,105.38439558611647
2024-02-12,105.26161189964513
2024-02-13,103.75626817352652
2024-02-14,104.6672326412521
2024-02-15,105.24410163836606
2024-02-16,104.69889583966423
2024-02-20,104.22381303960474
2024-02-21,104.53622229743085
2024-02-22,106.14640993378978
2024-02-23,106.17303915609114
2024-02-26,105.51668237215416
2024-02-27,105.7939779209273
2024-02-28,105.61091283067353
2024-02-29,106.15083910225658
2024-03-01,106.69550123506811
