Date,S&P 500-style reconstruction
2019-01-02,100.0
2019-01-03,100.0
2019-01-04,100.0
2019-01-07,100.0
2019-01-08,100.86650651286375
2019-01-09,101.1566134195846
2019-01-10,101.7182186595099
2019-01-11,101.79462743752204
2019-01-14,101.2783809143798
2019-01-15,102.08722995841919
2019-01-16,102.38423537046641
2019-01-17,103.14157657254725
2019-01-18,104.54315060002222
2019-01-22,103.25428562268841
2019-01-23,103.5130262078769
2019-01-24,103.58694358993368
2019-01-25,104.36410220816683
2019-01-28,103.65239935796768
2019-01-29,103.70502707908815
2019-01-30,105.02867477033323
2019-01-31,105.92727988096568
2019-02-01,106.29100454747771
2019-02-04,106.87926795099465
2019-02-05,107.35412051462619
2019-02-06,107.18799181607686
2019-02-07,106.2645231053603
2019-02-08,106.34547284112924
2019-02-11,106.48856566734992
2019-02-12,107.73845541040052
2019-02-13,108.18867686923726
2019-02-14,107.79566985428796
2019-02-15,109.1576661990053
2019-02-19,109.26302993187507
2019-02-20,109.46993132818628
2019-02-21,109.24682441853165
2019-02-22,109.85093783979431
2019-02-25,110.03969948958473
2019-02-26,110.00388485226753
2019-02-27,110.03211380726327
2019-02-28,109.66294255640057
2019-03-01,110.28959371811638
2019-03-04,109.70516861786332
2019-03-05,109.41404913175217
2019-03-06,108.60112949392659
2019-03-07,107.95470420270516
2019-03-08,107.7309516313498
2019-03-11,109.16489733273342
2019-03-12,109.39013257212342
2019-03-13,110.18269634019249
2019-03-14,110.22277763459381
2019-03-15,110.71885343492293
2019-03-18,111.17875354060955
2019-03-19,111.05374030312738
2019-03-20,110.43856520145405
2019-03-21,111.56449303967469
2019-03-22,109.50394458008962
2019-03-25,109.4011603108299
2019-03-26,110.32097689585443
2019-03-27,109.77434651633698
2019-03-28,110.1882385310602
2019-03-29,110.93423491939464
2019-04-01,112.140382020926
2019-04-02,112.0575938045025
2019-04-03,112.24106512175767
2019-04-04,112.37586781131954
2019-04-05,112.89510947609843
2019-04-08,112.86716532511178
2019-04-09,112.10891978337327
2019-04-10,112.45689468088011
2019-04-11,112.49262177397254
2019-04-12,113.24886520444394
2019-04-15,113.18740256506254
2019-04-16,113.20808090498811
2019-04-17,112.87243068123753
2019-04-18,113.134006206922
2019-04-22,113.13100775551028
2019-04-23,114.00766798767808
2019-04-24,113.87496579612542
2019-04-25,113.78479498922331
2019-04-26,114.40305141462682
2019-04-29,114.51349747120207
2019-04-30,115.10469377878736
2019-05-01,114.09109620152068
2019-05-02,113.92848217011746
2019-05-03,114.9404550015112
2019-05-06,114.46201402223414
2019-05-07,112.61473909934891
2019-05-08,112.46931424890543
2019-05-09,112.1719938325863
2019-05-10,112.78126238926798
2019-05-13,110.29996315987016
2019-05-14,111.32601516384118
2019-05-15,111.79566231923346
2019-05-16,112.8078457847228
2019-05-17,112.2206491117274
2019-05-20,111.62564235019951
2019-05-21,112.50173906469814
2019-05-22,112.20873308969557
2019-05-23,110.95710503901495
2019-05-24,111.15426255109746
2019-05-28,110.06066829191472
2019-05-29,109.33500858060282
2019-05-30,109.60703675629809
2019-05-31,108.28375387142941
2019-06-03,108.44866752999178
2019-06-04,110.76776761967733
2019-06-05,111.73602087487227
2019-06-06,112.42433111399122
2019-06-07,113.43412457255391
2019-06-10,113.83803776931731
2019-06-11,113.72009828564336
2019-06-12,113.61137291465637
2019-06-13,114.02796643764894
2019-06-14,113.8468588621318
2019-06-17,113.75420996544128
2019-06-18,114.85441798811841
2019-06-19,115.25607988373625
2019-06-20,116.41852228840386
2019-06-21,116.14729199858469
2019-06-24,115.87934521750344
2019-06-25,114.85293055305077
2019-06-26,114.59727491122243
2019-06-27,115.06798859931406
2019-06-28,115.79498030059754
2019-07-01,116.60620660977969
2019-07-02,116.94595013744504
2019-07-03,117.8615808308692
2019-07-05,117.57534736357096
2019-07-08,117.01873941753365
2019-07-09,117.03378189125976
2019-07-10,117.44149055512723
2019-07-11,117.74453880812577
2019-07-12,118.31653253054235
2019-07-15,118.29413111901515
2019-07-16,117.87612888959487
2019-07-17,117.103552079901
2019-07-18,117.63913822037269
2019-07-19,116.99410913612431
2019-07-22,117.20179134250961
2019-07-23,118.08741367698643
2019-07-24,118.66623879561497
2019-07-25,118.07927182301772
2019-07-26,118.82897230460006
2019-07-29,118.63566650843806
2019-07-30,118.39455714370455
2019-07-31,117.00423650711042
2019-08-01,115.98776886748752
2019-08-02,115.277984816892
2019-08-05,111.96876787465027
2019-08-06,113.4004775599503
2019-08-07,113.44552704081275
2019-08-08,115.53713326987791
2019-08-09,114.83126331073082
