Ticker,Company,Weight (%)
NVDA,Nvidia,6.9107
AAPL,Apple Inc.,5.8826
GOOGL,Alphabet Inc. (Class A),5.6911
GOOG,Alphabet Inc. (Class C),5.6848
MSFT,Microsoft,4.6291
AMZN,Amazon,3.4716
META,Meta Platforms,2.502
AVGO,Broadcom,2.4688
TSLA,"Tesla, Inc.",2.2973
BRK-B,Berkshire Hathaway,1.6447
