Date,S&P 500-style reconstruction,Official S&P 500
2019-01-02,100.0,100.0
2019-01-03,100.0,97.52432696049628
2019-01-04,100.0,100.8728944217258
2019-01-07,100.0,101.58005727606712
2019-01-08,100.86650651286375,102.56490488404772
2019-01-09,101.1566134195846,102.98522052589207
2019-01-10,101.7182186595099,103.45055088068057
2019-01-11,101.79462743752204,103.43541628834238
2019-01-14,101.2783809143798,102.89160198395442
2019-01-15,102.08722995841919,103.99477370234244
2019-01-16,102.38423537046641,104.22584858034898
2019-01-17,103.14157657254725,105.0170687270981
2019-01-18,104.54315060002222,106.40151431517478
2019-01-22,103.25428562268841,104.89515550064132
2019-01-23,103.5130262078769,105.12623037864785
2019-01-24,103.58694358993368,105.27085522021366
2019-01-25,104.36410220816683,106.16446730368776
2019-01-28,103.65239935796768,105.33141304276991
2019-01-29,103.70502707908815,105.17802453301856
2019-01-30,105.02867477033323,106.81346507950573
2019-01-31,105.92727988096568,107.7317827314496
2019-02-01,106.29100454747771,107.82859159876445
2019-02-04,106.87926795099465,108.5592636495591
2019-02-05,107.35412051462619,109.07040629863604
2019-02-06,107.18799181607686,108.82778594434069
2019-02-07,106.2645231053603,107.80946909970477
2019-02-08,106.34547284112924,107.88236997989414
2019-02-11,106.48856566734992,107.95886970273463
2019-02-12,107.73845541040052,109.35048379630823
2019-02-13,108.18867686923726,109.68115907633467
2019-02-14,107.79566985428796,109.3903239571162
2019-02-15,109.1576661990053,110.58035422921884
2019-02-19,109.26302993187507,110.74608579660334
2019-02-20,109.46993132818628,110.94289385661024
2019-02-21,109.24682441853165,110.55166075402757
2019-02-22,109.85093783979431,111.26041877105749
2019-02-25,110.03969948958473,111.39747631645422
2019-02-26,110.00388485226753,111.30942139072313
2019-02-27,110.03211380726327,111.2488635681669
2019-02-28,109.66294255640057,110.93452897909685
2019-03-01,110.28959371811638,111.69945812128937
2019-03-04,109.70516861786332,111.26600184046758
2019-03-05,109.41404913175217,111.1401007072893
2019-03-06,108.60112949392659,110.41501172590475
2019-03-07,107.95470420270516,109.51781052638131
2019-03-08,107.7309516313498,109.28435263094364
2019-03-11,109.16489733273342,110.8871215221198
2019-03-12,109.39013257212342,111.21460647676903
2019-03-13,110.18269634019249,111.98750170580279
2019-03-14,110.22277763459381,111.89029404781579
2019-03-15,110.71885343492293,112.44805629912724
2019-03-18,111.17875354060955,112.86478282492224
2019-03-19,111.05374030312738,112.85004702325621
2019-03-20,110.43856520145405,112.51777658054118
2019-03-21,111.56449303967469,113.7388736186645
2019-03-22,109.50394458008962,111.58073522020977
2019-03-25,109.4011603108299,111.48711667827213
2019-03-26,110.32097689585443,112.2878980745511
2019-03-27,109.77434651633698,111.76639659460001
2019-03-28,110.1882385310602,112.16758001078291
2019-03-29,110.93423491939464,112.92294790344557
2019-04-01,112.140382020926,114.22930833259493
2019-04-02,112.0575938045025,114.23130228595568
2019-04-03,112.24106512175767,114.47671417495609
2019-04-04,112.37586781131954,114.7153563491317
2019-04-05,112.89510947609843,115.2472263865587
2019-04-08,112.86716532511178,115.36794324099903
2019-04-09,112.10891978337327,114.66794889215466
2019-04-10,112.45689468088011,115.06674929090642
2019-04-11,112.49262177397254,115.07113598830007
