Date,Dow-style reconstruction,Official DJIA
2019-01-02,100.0,100.0
2019-01-03,97.50223650016837,97.17290867983878
2019-01-04,100.79577775776845,100.37230800763807
2019-01-07,101.51655731952278,100.79288730494362
2019-01-08,102.60343010714507,101.88985027116
2019-01-09,102.89650359980519,102.28250416726797
2019-01-10,103.54255285367208,102.80850227238979
2019-01-11,103.47668909356199,102.78292769136492
2019-01-14,103.04056995230785,102.41409153558334
2019-01-15,103.66669184999266,103.08122251014889
2019-01-16,104.27896783744674,103.68761699199592
2019-01-17,105.0533487602563,104.38554287423321
2019-01-18,106.52235342317209,105.82581761065482
2019-01-22,105.21775789509758,104.53280795430541
2019-01-23,105.78200083529707,105.26585391869592
2019-01-24,105.66899873265794,105.16999734382418
2019-01-25,106.44164283436942,105.957957128904
2019-01-28,105.35506379240599,105.06283006121754
2019-01-29,105.4372989249306,105.28445133237544
2019-01-30,107.01844473018058,107.14727135450326
2019-01-31,107.41293252146647,107.08220968730328
2019-02-01,107.54854677672111,107.35728911114317
2019-02-04,108.35675674043569,108.10892412330512
2019-02-05,109.07182939474602,108.8463036280852
2019-02-06,109.00637056768309,108.7554164026177
2019-02-07,107.88372831216529,107.80977598189618
2019-02-08,107.76222484651566,107.53907192798626
2019-02-11,107.64350635988578,107.3111092984977
2019-02-12,109.36278013411236,108.90729946395444
2019-02-13,109.7249582430636,109.410634324066
2019-02-14,109.13618716851873,108.96568513650024
2019-02-15,110.86584518438646,110.8668879449356
2019-02-19,110.7882255872394,110.901455877155
2019-02-20,111.09688853145764,111.17181692883331
2019-02-21,110.77586062452202,110.72716891395872
2019-02-22,111.52515162910414,111.50322401182939
2019-02-25,111.73162843077294,111.7608186877655
2019-02-26,111.64688927257272,111.61531881429984
2019-02-27,111.4881233633271,111.30340429714869
2019-02-28,111.20804552520175,111.00716749175436
2019-03-01,111.9201996146138,111.47970744419416
2019-03-04,110.84539549240962,110.59446887986765
2019-03-05,110.72083735163305,110.53870173655338
2019-03-06,110.02189468046407,109.96828902539262
2019-03-07,109.05462871874138,109.11063286003208
2019-03-08,108.96315838780812,109.01215775592881
2019-03-11,109.85589082496794,109.87157076198783
2019-03-12,109.40560997046234,109.45942430003493
2019-03-13,110.0834051101243,110.09434652846187
2019-03-14,110.22726206437446,110.12453909075128
2019-03-15,110.9055109866694,110.7196228648634
2019-03-18,111.15620879403116,110.99902746318477
2019-03-19,111.14625518605025,110.88458184054161
2019-03-20,110.59767978169798,110.27758501331225
2019-03-21,111.46896473315518,111.20638486105273
