Ticker,Company,Weight (%)
GS,Goldman Sachs,10.3871
CAT,Caterpillar,9.2419
MSFT,Microsoft,5.3004
AMGN,Amgen,4.851
HD,Home Depot,4.4704
MCD,McDonald's,4.2723
SHW,Sherwin-Williams,4.1904
V,Visa,4.0426
TRV,"Travelers Companies, Inc.",3.9834
AXP,American Express,3.9818
